Title,Difficulty,Level,Chart Constant,Score,Note Count,PM Rating,Play Rating,Play Potential
World Fragments III (radio edit),FTR,9+,9.8,"9,943,605","1,387",-,1.718025,11.518025
Give Me a Nightmare,FTR,8+,8.9,"9,942,884",948,-,1.71442,10.61442
Singularity,FTR,10,10.5,"9,942,155","1,105",-,1.710775,12.210775
Relentless,FTR,8,8,"9,941,843","1,015",-,1.709215,9.709215
Chronostasis,FTR,8+,8.9,"9,940,792",916,-,1.70396,10.60396
Lethaeus,FTR,9+,9.7,"9,939,708",900,-,1.69854,11.39854
Illegal Paradise,FTR,9,9.5,"9,939,692","1,061",-,1.69846,11.19846
qualia -ideaesthesia-,BYD,9+,9.8,"9,939,115","1,288",-,1.695575,11.495575
felys final remix,FTR,9,9.5,"9,939,045","1,130",-,1.695225,11.195225
Auxesia,FTR,9,9.3,"9,935,838","1,000",-,1.67919,10.97919
Kanagawa Cyber Culvert,FTR,9,9,"9,933,525","1,111",-,1.667625,10.667625
DDD,FTR,8,8.5,"9,931,692",653,-,1.65846,10.15846
Masquerade Legion,FTR,10,10,"9,930,480","1,064",-,1.6524,11.6524
Rugie,FTR,9,9.2,"9,929,135",975,-,1.645675,10.845675
Crimson Quartz,ETR,9+,9.8,"9,926,104","1,200",-,1.63052,11.43052
Blaster,FTR,9,9.3,"9,926,066","1,002",-,1.63033,10.93033
1F√,FTR,8,8.2,"9,921,494",758,-,1.60747,9.80747
